r,gr
0.025000,0.00000000
0.075000,0.00000000
0.125000,0.00000000
0.175000,0.00000000
0.225000,0.00000000
0.275000,0.00000000
0.325000,0.00000000
0.375000,0.00000000
0.425000,0.00000000
0.475000,0.00000000
0.525000,0.00000000
0.575000,0.00000000
0.625000,0.00000000
0.675000,0.00000000
0.725000,0.00000000
0.775000,0.00000000
0.825000,0.00000000
0.875000,0.00000000
0.925000,0.00000000
0.975000,0.00000000
1.025000,0.00000000
1.075000,0.00000000
1.125000,0.00000000
1.175000,0.00000000
1.225000,0.00000000
1.275000,0.00000000
1.325000,0.00000000
1.375000,0.00000000
1.425000,0.00000000
1.475000,0.00000000
1.525000,0.00000000
1.575000,0.00000000
1.625000,0.00000000
1.675000,0.00000000
1.725000,0.00000000
1.775000,0.00000000
1.825000,0.00000000
1.875000,0.00000000
1.925000,0.00000000
1.975000,0.00000000
2.025000,0.00000000
2.075000,0.00000000
2.125000,0.00000000
2.175000,0.00000000
2.225000,0.00000000
2.275000,0.00000000
2.325000,0.00000000
2.375000,0.00000000
2.425000,0.00000000
2.475000,0.00000000
2.525000,0.00000000
2.575000,0.00000000
2.625000,0.00000000
2.675000,0.00000000
2.725000,0.00000000
2.775000,0.00000000
2.825000,0.00000000
2.875000,0.00000000
2.925000,0.00000000
2.975000,0.00000000
3.025000,0.00000000
3.075000,0.00147158
3.125000,0.00854922
3.175000,0.04831209
3.225000,0.13244970
3.275000,0.35806487
3.325000,0.68090920
3.375000,1.12753331
3.425000,1.55034971
3.475000,2.10294777
3.525000,2.45693471
3.575000,2.58684007
3.625000,2.81881949
3.675000,2.88378878
3.725000,2.76677844
3.775000,2.76427467
3.825000,2.57169254
3.875000,2.50575445
3.925000,2.33483643
3.975000,2.10121944
4.025000,2.00897110
4.075000,1.86863669
4.125000,1.69603997
4.175000,1.62133292
4.225000,1.50445471
4.275000,1.31719205
4.325000,1.26682802
4.375000,1.13408007
4.425000,1.10717466
4.475000,1.07423339
4.525000,0.99897680
4.575000,0.92607073
4.625000,0.90875783
4.675000,0.79583314
4.725000,0.80151671
4.775000,0.73843769
4.825000,0.71424713
4.875000,0.68796107
4.925000,0.68611031
4.975000,0.62741264
5.025000,0.61719319
5.075000,0.61103452
5.125000,0.63254558
5.175000,0.60479405
5.225000,0.58664851
5.275000,0.61058478
5.325000,0.59230211
5.375000,0.57362763
5.425000,0.61132798
5.475000,0.60856880
5.525000,0.61902821
5.575000,0.61155594
5.625000,0.65174602
5.675000,0.65111358
5.725000,0.68224464
5.775000,0.70761512
5.825000,0.72545622
5.875000,0.75549063
5.925000,0.75230636
5.975000,0.76042552
6.025000,0.86323595
6.075000,0.84342924
6.125000,0.88943093
6.175000,0.89406151
6.225000,0.92248779
6.275000,1.00290586
6.325000,1.01841608
6.375000,1.06584482
6.425000,1.09381449
6.475000,1.10918027
6.525000,1.15074800
6.575000,1.13846264
6.625000,1.18157927
6.675000,1.20797838
6.725000,1.19962054
6.775000,1.23018005
6.825000,1.23970405
6.875000,1.28032209
6.925000,1.26161027
6.975000,1.27333292
7.025000,1.30376826
7.075000,1.24871145
7.125000,1.28606673
7.175000,1.30847825
7.225000,1.26857234
7.275000,1.26828408
7.325000,1.24947271
7.375000,1.21647085
7.425000,1.20897643
7.475000,1.19410208
7.525000,1.13872343
7.575000,1.15550776
7.625000,1.11168375
7.675000,1.12110477
7.725000,1.07935782
7.775000,1.07081426
7.825000,1.04376562
7.875000,1.05276664
7.925000,1.00939328
7.975000,0.98649318
